Country,location_name,latitude,longitude,last_updated,temperature_celsius,precip_mm,humidity,air_quality_PM2.5,air_quality_PM10
Bhutan,Thimphu,27.48,89.6,2023/11/3 2:30,1.6,0,81,6.7,9.2
Bolivia,Sucre,-19.04,-65.26,2023/11/2 16:30,27.7,0,18,1.3,5.2
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2023/11/2 21:30,15,0.01,67,0.5,0.9
Botswana,Gaborone,-24.65,25.91,2023/11/2 22:30,19,0,73,4.6,7.2
Brazil,Bras,-2.08,-58.17,2023/11/2 16:30,40.7,0,18,15.4,16.4
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2023/11/3 4:30,25,0.06,100,2.5,2.6
Bulgaria,Sofia,42.68,23.32,2023/11/2 22:30,9,0,93,52.2,72.2
Burkina Faso,Ouagadougou,12.37,-1.52,2023/11/2 20:30,29,0,43,170.3,355.4
Burundi,Bujumbura,-3.38,29.36,2023/11/2 22:30,23.1,0,75,21.8,67
Madagascar,Ivory,-24.37,46.45,2023/11/2 23:30,19.1,0.01,76,1.4,4.1
Cape Verde,Praia,14.93,-23.51,2023/11/2 19:30,28,0,70,27.6,140.7
Cambodia,Phnom Penh,11.55,104.92,2023/11/3 3:30,26,0,100,17.9,40
Cameroon,Bafoussam,5.47,10.42,2023/11/2 21:30,17.3,0.01,92,16.4,29.5
Canada,Ottawa,45.42,-75.7,2023/11/2 16:30,7,0,42,1.9,2.4
Central African Republic,Bangui,4.37,18.58,2023/11/2 21:30,21.5,0,96,0.5,0.8
Chad,N'djamena,12.11,15.05,2023/11/2 21:30,28,0,27,68.7,221.7
Chile,Santiago,-33.45,-70.67,2023/11/2 17:30,16,0.09,39,11.5,16.1
China,Beijing,39.93,116.39,2023/11/3 4:30,13,0,41,9.1,19.3
Bulgaria,Bogot,43.32,24.7,2023/11/2 22:30,11.9,0,61,10.1,15.1
Comoros,Moroni,-11.7,43.24,2023/11/2 23:30,25.1,0,82,1.3,2.7
Congo,Brazzaville,-4.26,15.28,2023/11/2 21:30,23.3,0,87,5.1,24.2
Costa Rica,San Juan,9.97,-84.08,2023/11/2 14:30,21,1.47,100,22.1,23.1
Croatia,Zagreb,45.8,16,2023/11/2 21:30,18,0,60,1,1.8
Cuba,Havana,23.13,-82.36,2023/11/2 16:30,28,0,70,7.8,12.4
Cyprus,Nicosia,35.17,33.37,2023/11/2 22:30,20,0,78,8.4,12.3
Czech Republic,Prague,50.08,14.47,2023/11/2 21:30,10,0,94,35.7,44.2
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2023/11/2 21:30,22.8,0,87,5.1,24.2
Denmark,Copenhagen,55.67,12.58,2023/11/2 21:30,11,1.1,87,6.3,6.9
Djibouti,Djibouti,11.6,43.15,2023/11/2 23:30,29,0.14,70,5.5,11.6
Dominica,Roseau,15.3,-61.4,2023/11/2 16:30,30,0.06,59,1.5,5.9
Dominican Republic,Santo Domingo,18.47,-69.9,2023/11/2 16:30,32,0,67,8.7,10.5
Ecuador,Quito,-0.22,-78.5,2023/11/2 15:30,14.9,0.79,84,9.9,11.7
Egypt,Cairo,30.05,31.25,2023/11/2 22:30,24,0,78,14.7,27.3
El Salvador,San Salvador,13.71,-89.2,2023/11/2 14:30,28,0.77,66,1,2.1
Equatorial Guinea,Malabo,3.75,8.78,2023/11/2 21:30,26.6,0.06,83,0.5,0.8
Eritrea,Asmara,15.33,38.93,2023/11/2 23:30,15.8,0.17,83,9.3,22.8
Estonia,Tallinn,59.43,24.73,2023/11/2 22:30,3,0.02,100,4.6,5.9
Swaziland,Mbabane,-26.32,31.13,2023/11/2 22:30,12.3,0,95,6.2,10.9
Ethiopia,Addis Ababa,9.03,38.7,2023/11/2 23:30,15,0,67,124.4,233.7
Fiji Islands,Suva,-18.13,178.42,2023/11/3 8:30,28,0.28,79,2.8,7.3
Finland,Helsinki,60.18,24.93,2023/11/2 22:30,-1,0,93,36.7,43.9
France,Paris,48.87,2.33,2023/11/2 21:30,10,0.74,71,1.8,2.8
Gabon,Libreville,0.38,9.45,2023/11/2 21:30,25.1,1.71,89,3.7,5.4
Gambia,Banjul,13.45,-16.58,2023/11/2 20:15,28,0,89,50.4,286.4
Georgia,Tbilisi,41.73,44.79,2023/11/3 0:30,13,0,77,20.4,35.2
Germany,Berlin,52.52,13.4,2023/11/2 21:30,10,0.04,94,7.7,8.8
Ghana,Accra,5.55,-0.22,2023/11/2 20:30,28,0.06,84,5.2,12.8
Greece,Athens,37.98,23.72,2023/11/2 22:30,18,0,73,12.2,17.8
Grenada,Saint George's,12.05,-61.75,2023/11/2 16:30,28,0.15,89,1.6,4.2
Guatemala,Guatemala City,14.62,-90.53,2023/11/2 14:30,16.4,0.08,94,1.4,3
Guinea,Conakry,9.51,-13.71,2023/11/2 20:30,28,0.06,84,2.8,7.9
Guinea-Bissau,Bissau,11.85,-15.58,2023/11/2 20:30,28,0,84,35.2,150.8
Guyana,Georgetown,6.8,-58.17,2023/11/2 16:30,31,0,66,1.7,3.1
Haiti,Port-Au-Prince,18.54,-72.34,2023/11/2 16:30,33,0,56,3.6,8.4
Vatican City,Vatican City,41.9,12.45,2023/11/2 21:30,20,0.61,83,4.6,12.7
Honduras,Tegucigalpa,14.1,-87.22,2023/11/2 14:30,25,0.7,69,0.5,2.1
Hungary,Budapest,47.5,19.08,2023/11/2 21:30,15,0,67,17.9,21.5
Iceland,Hella,63.83,-20.4,2023/11/2 20:30,1.7,0,65,0.5,2.2
India,New Delhi,28.6,77.2,2023/11/3 2:00,21,0,83,101.8,128.1
Indonesia,Jakarta,-6.21,106.85,2023/11/3 3:30,25,0,89,951.1,1169.1
Iran,Tehran,35.73,51.33,2023/11/3 0:00,14,0,72,35.6,53.5
Iraq,Baghdad,33.34,44.39,2023/11/2 23:30,21,0,64,21,41.4
Ireland,Dublin,53.33,-6.25,2023/11/2 20:30,8,0,87,1.1,1.7
Israel,Jerusalem,31.78,35.23,2023/11/2 22:30,24,0,78,18.1,27.2
Italy,Rome,41.9,12.48,2023/11/2 21:30,20,0.61,83,4.6,12.7
Jamaica,Norman Gardens,17.97,-76.75,2023/11/2 15:30,31,0,63,2.4,3.2
Japan,Tokyo,35.69,139.69,2023/11/3 5:30,16,0,82,34.6,40.4
Jordan,Amman,31.95,35.93,2023/11/2 23:30,20,0,78,15,24.5
Kazakhstan,Astana,51.18,71.43,2023/11/3 2:30,1,0.07,100,4.2,4.8
Kenya,Nairobi,-1.28,36.82,2023/11/2 23:30,18,0.18,94,19.5,34.9
Kiribati,Tarawa,-0.88,169.53,2023/11/3 8:30,27.5,0,78,0.5,0.7
Kuwait,Kuwait City,29.37,47.96,2023/11/2 23:30,25.5,0,59,27.9,86.3
Kyrghyzstan,Bishkek,42.87,74.6,2023/11/3 2:30,8.1,0,43,3.2,4.5
Indonesia,Laos,-8.18,114.32,2023/11/3 3:30,22.5,0.02,94,12.9,23.5
Latvia,Riga,56.95,24.1,2023/11/2 22:30,5,0,87,12.9,17.6
Lebanon,Beirut,33.87,35.51,2023/11/2 22:30,24,0,74,18.9,31.5
Lesotho,Maseru,-29.32,27.48,2023/11/2 22:30,16.6,0,31,24.6,29.5
Liberia,Monrovia,6.31,-10.8,2023/11/2 20:30,26.8,0.03,81,2,3.3
Thailand,Nan,18.78,100.78,2023/11/3 3:30,21.4,0,97,14.9,16.3
Liechtenstein,Vaduz,47.13,9.52,2023/11/2 21:30,9,1.62,93,3.3,3.9
Lithuania,Vilnius,54.68,25.32,2023/11/2 22:30,7,0,87,6.4,8.3
Luxembourg,Luxembourg,49.61,6.13,2023/11/2 21:30,7,0,87,0.5,0.7
Madagascar,Antananarivo,-18.92,47.52,2023/11/2 23:30,18,0,88,3.4,7.5
Malawi,Lilongwe,-13.98,33.78,2023/11/2 22:30,21.8,0,69,2.1,4.5
Malaysia,Kuala Lumpur,3.17,101.7,2023/11/3 4:30,26,0.4,89,27.8,41.5
Maldives,Farukolhufunadhoo,6.15,73.27,2023/11/3 1:30,27.9,0.14,76,3.6,4.3
Mali,Bamako,12.65,-8,2023/11/2 20:30,25,0,65,56.7,137.5
Malta,Valletta,35.9,14.51,2023/11/2 21:30,22,0,83,3.2,14.4
Marshall Islands,Majuro,7.1,171.38,2023/11/3 8:30,29,1.72,79,0.6,2
Mauritania,Nouakchott,18.09,-15.98,2023/11/2 20:30,27.8,0,55,91.8,365.1
Mauritius,Port Louis,-20.16,57.5,2023/11/3 0:30,25,0.01,79,2.7,8.9
Mexico,Mexico City,19.43,-99.13,2023/11/2 14:30,21,0,40,32.7,35.8
Micronesia,Palikir,6.92,158.15,2023/11/3 7:30,25,0,94,0.5,0.8
Russia,Chi-Chi-Erh,51.7,94.45,2023/11/3 3:30,-4.5,0.01,97,0.9,1
Monaco,Monaco,43.73,7.42,2023/11/2 21:30,13,0,94,8.8,9.9
Mongolia,Ulaanbaatar,47.92,106.92,2023/11/3 4:30,-5,0.02,79,3.8,6.3
Montenegro,Podgorica,42.44,19.26,2023/11/2 21:30,15,0.02,94,2.2,2.7
Morocco,Rabat,34.03,-6.84,2023/11/2 21:30,21,0.15,88,2.4,5.3
Mozambique,Maputo,-25.97,32.59,2023/11/2 22:30,21,0,73,16.1,37.5
Myanmar,Pathein,16.78,94.73,2023/11/3 3:00,24.4,0,89,13.9,15.1
Namibia,Windhoek,-22.57,17.08,2023/11/2 22:30,24,0,31,31.8,115.2
Turkey,Yaren,39.55,27.62,2023/11/2 23:30,15,0,100,14,15.5
Nepal,Kathmandu,27.72,85.32,2023/11/3 2:15,13,0,94,181,270
Netherlands,Amsterdam,52.37,4.89,2023/11/2 21:30,9,0.15,87,0.5,0.8
New Zealand,Wellington,-41.3,174.78,2023/11/3 9:30,15,0.66,88,0.5,0.8
Nicaragua,Managua,12.15,-86.27,2023/11/2 14:30,32,1.15,63,8.2,9
Niger,Niamey,13.52,2.12,2023/11/2 21:30,33,0,13,130.5,334.7
Nigeria,Abuja,9.18,7.18,2023/11/2 21:30,27,0,84,52.2,156.1
North Korea,Pyongyang,39.02,125.75,2023/11/3 5:30,17.4,0.05,88,21,44.1
Macedonia,Skopje,42,21.43,2023/11/2 21:30,12,0,88,15.1,19.9
Norway,Oslo,59.92,10.75,2023/11/2 21:30,10,2.2,62,0.5,0.6
Oman,Muscat,23.61,58.59,2023/11/3 0:30,26,0,61,52.4,70.5
Pakistan,Islamabad,33.7,73.17,2023/11/3 1:30,16.9,0,47,73.4,103.3
Palau,Adkip,7.36,134.51,2023/11/3 5:30,25,0,94,0.5,0.7
Bolivia,National,-11.18,-67.08,2023/11/2 16:30,37.4,0,29,0.5,0.5
Panama,Panama City,8.97,-79.53,2023/11/2 15:30,25,1.31,94,1.5,2.1
Papua New Guinea,Port Moresby,-9.46,147.19,2023/11/3 6:30,24,0.11,89,3.1,3.8
Paraguay,Carreria,-21.55,-58.12,2023/11/2 17:30,36.2,0,29,1.9,1.9
Peru,Lima,-12.05,-77.05,2023/11/2 15:30,20.5,0,71,5,17.1
Philippines,Manila,14.6,120.98,2023/11/3 4:30,27,0,89,83,103.5
Poland,Warsaw,52.25,21,2023/11/2 21:30,11,0,71,6.4,8.8
Portugal,Lisbon,38.72,-9.13,2023/11/2 20:30,14,0.22,77,2.6,6.9
Qatar,Doha,25.29,51.53,2023/11/2 23:30,28,0,74,48.4,94
Romania,Bucharest,44.43,26.1,2023/11/2 22:30,13,0,88,7,13.5
Russia,Moscow,55.75,37.62,2023/11/2 23:30,3,0,81,2.6,4.6
Rwanda,Kigali,-1.95,30.06,2023/11/2 22:30,18,0.01,88,17.1,32.3
Saint Kitts and Nevis,Basseterre,17.3,-62.72,2023/11/2 16:30,29,0.01,79,2,6.6
Saint Lucia,Castries,14,-61,2023/11/2 16:30,28,0.01,84,1.5,5.7
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2023/11/2 16:30,28.7,0.02,74,2.6,6.9
Samoa,Apia,-13.83,-171.73,2023/11/3 9:30,25,0.18,100,2.9,4.6
San Marino,San Marino,43.93,12.45,2023/11/2 21:30,23,0,50,1.2,3.2
Belgium,'S-Gravenwezel,51.27,4.55,2023/11/2 21:30,8,0.35,87,0.5,0.6
Saudi Arabia,Riyadh,24.64,46.77,2023/11/2 23:30,23,1.12,61,24.4,43.5
Senegal,Dakar,14.67,-17.44,2023/11/2 20:30,29,0,89,89.2,250
Serbia,Belgrade,44.8,20.47,2023/11/2 21:30,16,0,59,8.3,10.9
Seychelles Islands,Victoria,-4.62,55.45,2023/11/3 0:30,28,1.79,84,1.1,2.4
Sierra Leone,Freetown,8.49,-13.23,2023/11/2 20:30,28,0,79,3,8.3
Singapore,Singapore,1.29,103.86,2023/11/3 4:30,27,0,84,34.3,39.5
Slovakia,Bratislava,48.15,17.12,2023/11/2 21:30,14,0.01,82,1,1.3
Slovenia,Ljubljana,46.06,14.51,2023/11/2 21:30,13,0.39,94,2.7,3.7
Solomon Islands,Honiara,-9.43,159.95,2023/11/3 7:30,25,0.07,94,0.5,0.6
Somalia,Mogadishu,2.07,45.37,2023/11/2 23:30,26.5,0.6,81,17.1,35
South Africa,Pretoria,-25.75,28.19,2023/11/2 22:30,18,0,56,34.5,51.6
South Korea,Seoul,37.57,127,2023/11/3 5:30,19,0,83,15.5,23.9
Sudan,Juba,12.15,24.45,2023/11/2 22:30,28.9,0,24,35,130.6
Spain,Madrid,40.4,-3.68,2023/11/2 21:30,8,0,66,0.7,1.2
Sri Lanka,Colombo,6.93,79.85,2023/11/3 2:00,25,0,94,76,80.9
Sudan,Khartoum,15.59,32.53,2023/11/2 22:30,32.1,0,20,13.9,65.1
Suriname,Paramaribo,5.83,-55.17,2023/11/2 17:30,32,0.18,63,2.8,10.4
Sweden,Stockholm,59.33,18.05,2023/11/2 21:30,7,0.02,93,0.5,0.9
Switzerland,Bern,46.92,7.47,2023/11/2 21:30,8,0.56,87,9.5,10.9
Syria,Damascus,33.5,36.3,2023/11/2 23:30,19,0,68,20.2,29.4
Tajikistan,Dushanbe,38.56,68.77,2023/11/3 1:30,11,0,58,4,6.3
Tanzania,Dodoma,-6.18,35.75,2023/11/2 23:30,19.4,0,80,0.5,1.3
Thailand,Bangkok,13.75,100.52,2023/11/3 3:30,28,0,79,410.2,559.4
Timor-Leste,Dili,-8.56,125.57,2023/11/3 5:30,25,0,66,5,10.2
Bulgaria,Lom,43.81,23.24,2023/11/2 22:30,11,0,63,13.1,17.6
Tonga,Nuku`Aloia,-21.13,-175.2,2023/11/3 9:30,25,0,89,6.9,34.9
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2023/11/2 16:30,26,5,89,0.8,1.1
Tunisia,Tunis,36.8,10.18,2023/11/2 21:30,21,0,78,31.2,96.8
Turkey,Ankara,39.93,32.86,2023/11/2 23:30,12,0.46,94,15.4,19.1
Turkmenistan,Ashgabat,37.95,58.38,2023/11/3 1:30,11,0,58,9.9,22.3
Tuvalu,Funafuti,-8.52,179.22,2023/11/3 8:30,31,1.91,84,0.5,0.8
Uganda,Kampala,0.32,32.57,2023/11/2 23:30,20,0.21,94,38.6,53.8
Ukraine,Kyiv,50.43,30.52,2023/11/2 22:30,9.4,0,71,6.1,8.4
United Arab Emirates,Abu Dhabi,24.47,54.37,2023/11/3 0:30,29,0,58,43.3,159.6
United Kingdom,London,51.52,-0.11,2023/11/2 20:30,10,0.2,82,0.5,0.6
United States of America,Washington Park,46.6,-120.49,2023/11/2 13:30,7.2,0,76,14.6,15.6
Uruguay,Montevideo,-34.86,-56.17,2023/11/2 17:30,14,1.24,88,1.5,3.7
Uzbekistan,Tashkent,41.32,69.25,2023/11/3 1:30,9,0,66,10.2,12.1
Vanuatu,Port Vila,-17.73,168.32,2023/11/3 7:30,25,0.04,79,2.6,10.7
Venezuela,Caracas,10.5,-66.92,2023/11/2 16:30,28,0.01,74,16.1,16.5
Vietnam,Hanoi,21.03,105.85,2023/11/3 3:30,23,0.03,94,153.4,177.7
Yemen,Sanaa,15.35,44.21,2023/11/2 23:30,16.4,0,45,18,50.3
Zambia,Lusaka,-15.42,28.28,2023/11/2 22:30,22.2,0,63,9.1,15.1
Zimbabwe,Harare,-17.82,31.04,2023/11/2 22:30,18,0,69,21.4,28.3
Afghanistan,Kabul,34.52,69.18,2023/11/4 0:30,8.3,0,32,29.2,38
Albania,Tirana,41.33,19.82,2023/11/3 21:00,17,1.98,94,8.2,9.7
Algeria,Algiers,36.76,3.05,2023/11/3 21:00,18,0.03,60,0.7,1.8
Andorra,Andorra La Vella,42.5,1.52,2023/11/3 21:00,-4.2,0.12,95,0.5,0.6
Angola,Luanda,-8.84,13.23,2023/11/3 21:00,26,0,84,19,37.5
Antigua and Barbuda,Saint John's,17.12,-61.85,2023/11/3 16:00,29,0.56,75,2.3,11.7
Argentina,Buenos Aires,-34.59,-58.67,2023/11/3 17:00,14,0.01,82,0.9,1.7
Armenia,Yerevan,40.18,44.51,2023/11/4 0:00,9,0,93,4.9,5.9
Australia,Canberra,-35.28,149.22,2023/11/4 7:00,12,0,88,1.3,3.1
Austria,Vienna,48.2,16.37,2023/11/3 21:00,7,0,81,0.6,1.2
Azerbaijan,Baku,40.4,49.88,2023/11/4 0:00,16,0,88,14.7,21.8
Bahamas,Nassau,25.08,-77.35,2023/11/3 16:00,26,5.98,84,4.4,11.6
Bahrain,Manama,26.24,50.58,2023/11/3 23:00,27,0,66,30.2,67.3
Bangladesh,Dhaka,23.72,90.41,2023/11/4 2:00,24.3,0,65,103.3,135.8
Barbados,Bridgetown,13.1,-59.62,2023/11/3 16:00,28,0.33,84,0.9,2.4
Belarus,Minsk,53.9,27.57,2023/11/3 23:00,7,0,87,3.2,3.8
Belgium,Brussels,50.83,4.33,2023/11/3 21:00,8,0,76,0.9,1.5
Belize,Belmopan,17.25,-88.77,2023/11/3 14:00,27,0.92,84,1.4,1.7
Benin,Porto-Novo,6.48,2.62,2023/11/3 21:00,29,1.27,79,6,12.4
Bhutan,Thimphu,27.48,89.6,2023/11/4 2:00,1.3,0,91,6.2,8
Bolivia,Sucre,-19.04,-65.26,2023/11/3 16:00,20.3,0,52,0.6,0.8
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2023/11/3 21:00,13,0,54,2.2,3.8
Botswana,Gaborone,-24.65,25.91,2023/11/3 22:00,22,0,46,5.1,6.6
Brazil,Bras,-2.08,-58.17,2023/11/3 16:00,40.5,0,19,12.1,13.1
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2023/11/4 4:00,25,0,100,0.5,0.6
Bulgaria,Sofia,42.68,23.32,2023/11/3 22:00,14,0.01,82,17.8,28.8
Burkina Faso,Ouagadougou,12.37,-1.52,2023/11/3 20:00,30,0,40,131.1,294.3
Burundi,Bujumbura,-3.38,29.36,2023/11/3 22:00,21,0.09,91,23.1,69.2
Madagascar,Ivory,-24.37,46.45,2023/11/3 23:00,20,0,64,1.3,4.2
Cape Verde,Praia,14.93,-23.51,2023/11/3 19:00,28,0,66,18.7,98.5
Cambodia,Phnom Penh,11.55,104.92,2023/11/4 3:00,25,0,94,45.8,68.4
Cameroon,Bafoussam,5.47,10.42,2023/11/3 21:00,16.7,0.47,94,28.1,48.1
Canada,Ottawa,45.42,-75.7,2023/11/3 16:00,11,0,50,3.7,4.4
Central African Republic,Bangui,4.37,18.58,2023/11/3 21:00,22.4,0.04,95,1,1.7
Chad,N'djamena,12.11,15.05,2023/11/3 21:00,30,0,46,83,186.3
Chile,Santiago,-33.45,-70.67,2023/11/3 17:00,28,0,14,16.7,21.8
China,Beijing,39.93,116.39,2023/11/4 4:00,11,0,54,284.8,360.6
Bulgaria,Bogot,43.32,24.7,2023/11/3 22:00,18,0,53,8.5,11.2
Comoros,Moroni,-11.7,43.24,2023/11/3 23:00,23.2,0.02,85,1,3
Congo,Brazzaville,-4.26,15.28,2023/11/3 21:00,22.4,0.26,90,19.5,111.7
Costa Rica,San Juan,9.97,-84.08,2023/11/3 14:00,23,1.06,89,8.2,9
Croatia,Zagreb,45.8,16,2023/11/3 21:00,8,0.02,81,3.2,6.1
Cuba,Havana,23.13,-82.36,2023/11/3 16:00,27,0,74,4.9,18.3
Cyprus,Nicosia,35.17,33.37,2023/11/3 22:00,20,0,78,5.6,14.4
Czech Republic,Prague,50.08,14.47,2023/11/3 21:00,7,0.26,93,2.2,4.2
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2023/11/3 21:00,22.8,0.41,92,19.5,111.7
Denmark,Copenhagen,55.67,12.58,2023/11/3 21:00,10,0,82,3.7,5.4
Djibouti,Djibouti,11.6,43.15,2023/11/3 23:00,28,0.12,79,3.5,11.5
Dominica,Roseau,15.3,-61.4,2023/11/3 16:00,32,0.09,56,2.9,7.8
Dominican Republic,Santo Domingo,18.47,-69.9,2023/11/3 16:00,31,0,66,3.3,6
Ecuador,Quito,-0.22,-78.5,2023/11/3 15:00,14.7,1.58,84,11.4,13.5
Egypt,Cairo,30.05,31.25,2023/11/3 22:00,25,0,57,9.5,27
El Salvador,San Salvador,13.71,-89.2,2023/11/3 14:00,33,0,56,1.8,2.3
Equatorial Guinea,Malabo,3.75,8.78,2023/11/3 21:00,25,2.4,87,0.5,0.8
Eritrea,Asmara,15.33,38.93,2023/11/3 23:00,15.8,0.05,84,11.2,25.6
Estonia,Tallinn,59.43,24.73,2023/11/3 22:00,7,0,81,3.9,4.7
Swaziland,Mbabane,-26.32,31.13,2023/11/3 22:00,12.1,0.02,93,6.8,10.7
Ethiopia,Addis Ababa,9.03,38.7,2023/11/3 23:00,16,0,72,115.9,201.1
Fiji Islands,Suva,-18.13,178.42,2023/11/4 8:00,27,0.1,84,6.3,11
Finland,Helsinki,60.18,24.93,2023/11/3 22:00,7,0,87,3.9,4.9
France,Paris,48.87,2.33,2023/11/3 21:00,8,0.03,93,3.2,4.6
Gabon,Libreville,0.38,9.45,2023/11/3 21:00,24.1,0,87,3.7,5
Gambia,Banjul,13.45,-16.58,2023/11/3 20:00,29,0,79,71,311.5
Georgia,Tbilisi,41.73,44.79,2023/11/4 0:00,16,0,72,5.7,8.6
Germany,Berlin,52.52,13.4,2023/11/3 21:00,9,0.02,87,2.7,3.5
Ghana,Accra,5.55,-0.22,2023/11/3 20:00,28,0,84,7,16.2
Greece,Athens,37.98,23.72,2023/11/3 22:00,23,0,83,38.6,138.1
Grenada,Saint George's,12.05,-61.75,2023/11/3 16:00,29,0.73,79,0.9,2
Guatemala,Guatemala City,14.62,-90.53,2023/11/3 14:00,22,0,61,2.5,4.9
Guinea,Conakry,9.51,-13.71,2023/11/3 20:00,29,0,79,5.5,13.6
Guinea-Bissau,Bissau,11.85,-15.58,2023/11/3 20:00,29,0,84,33.9,128.9
Guyana,Georgetown,6.8,-58.17,2023/11/3 16:00,33,0,56,1.6,2.7
Haiti,Port-Au-Prince,18.54,-72.34,2023/11/3 16:00,34,0,41,3.5,7.9
Vatican City,Vatican City,41.9,12.45,2023/11/3 21:00,14,2.28,77,6.1,7.3
Honduras,Tegucigalpa,14.1,-87.22,2023/11/3 14:00,21,0.02,88,1.6,2.5
Hungary,Budapest,47.5,19.08,2023/11/3 21:00,10,0,82,2.7,4
Iceland,Hella,63.83,-20.4,2023/11/3 20:00,2.2,0,59,0.7,4.1
India,New Delhi,28.6,77.2,2023/11/4 1:30,21,0,83,119.5,163.8
Indonesia,Jakarta,-6.21,106.85,2023/11/4 3:00,27,0,94,803.3,1021.3
Iran,Tehran,35.73,51.33,2023/11/3 23:30,16,0.03,55,26.5,40.6
Iraq,Baghdad,33.34,44.39,2023/11/3 23:00,23,0,61,26,43.6
Ireland,Dublin,53.33,-6.25,2023/11/3 20:00,8,0,81,0.8,1.4
Israel,Jerusalem,31.78,35.23,2023/11/3 22:00,22,0,78,13.8,23.1
Italy,Rome,41.9,12.48,2023/11/3 21:00,14,2.28,77,6.1,7.3
Jamaica,Norman Gardens,17.97,-76.75,2023/11/3 15:00,32,0,59,1.4,2
Japan,Tokyo,35.69,139.69,2023/11/4 5:00,17,0,77,37.1,43.1
Jordan,Amman,31.95,35.93,2023/11/3 23:00,20,0,56,12.6,21.9
Kazakhstan,Astana,51.18,71.43,2023/11/4 2:00,3,0,100,4.5,7.2
Kenya,Nairobi,-1.28,36.82,2023/11/3 23:00,18,0.09,88,17.1,28.9
Kiribati,Tarawa,-0.88,169.53,2023/11/4 8:00,28.4,0,74,0.5,0.7
Kuwait,Kuwait City,29.37,47.96,2023/11/3 23:00,25.9,0,58,61.6,126.3
Kyrghyzstan,Bishkek,42.87,74.6,2023/11/4 2:00,8.6,0,38,12.6,14.6
Indonesia,Laos,-8.18,114.32,2023/11/4 3:00,21,0,92,54.1,67.5
Latvia,Riga,56.95,24.1,2023/11/3 22:00,11,0,76,5.3,6.6
Lebanon,Beirut,33.87,35.51,2023/11/3 22:00,23,0,73,7.6,12.5
Lesotho,Maseru,-29.32,27.48,2023/11/3 22:00,20.3,0,36,3.5,4.9
Liberia,Monrovia,6.31,-10.8,2023/11/3 20:00,25,0,94,1.8,3
Thailand,Nan,18.78,100.78,2023/11/4 3:00,21.9,0,96,19.6,21.1
Liechtenstein,Vaduz,47.13,9.52,2023/11/3 21:00,7,0,70,5.3,7
Lithuania,Vilnius,54.68,25.32,2023/11/3 22:00,10,0,71,6.7,7.6
Luxembourg,Luxembourg,49.61,6.13,2023/11/3 21:00,6,0,87,0.5,0.6
Madagascar,Antananarivo,-18.92,47.52,2023/11/3 23:00,18,0.17,83,9,13.4
Malawi,Lilongwe,-13.98,33.78,2023/11/3 22:00,22.1,0,53,3.5,7
Malaysia,Kuala Lumpur,3.17,101.7,2023/11/4 4:00,26,0.11,94,49.7,78.1
Maldives,Farukolhufunadhoo,6.15,73.27,2023/11/4 1:00,27.5,0.35,77,8.8,9.1
Mali,Bamako,12.65,-8,2023/11/3 20:00,27,0,39,42.1,132.2
Malta,Valletta,35.9,14.51,2023/11/3 21:00,21,0,64,2.1,7.3
Marshall Islands,Majuro,7.1,171.38,2023/11/4 8:00,29,0,79,1.2,2.1
Mauritania,Nouakchott,18.09,-15.98,2023/11/3 20:00,26.8,0,63,68.2,262
Mauritius,Port Louis,-20.16,57.5,2023/11/4 0:00,23,0.05,83,2,8.6
Mexico,Mexico City,19.43,-99.13,2023/11/3 14:00,23,0,31,38,39.9
Micronesia,Palikir,6.92,158.15,2023/11/4 7:00,27,1.19,89,0.5,0.8
Russia,Chi-Chi-Erh,51.7,94.45,2023/11/4 3:00,-14.8,0,82,0.5,0.5
Monaco,Monaco,43.73,7.42,2023/11/3 21:00,13,0,51,5.6,7.5
Mongolia,Ulaanbaatar,47.92,106.92,2023/11/4 4:00,-3,0.57,80,0.8,1
Montenegro,Podgorica,42.44,19.26,2023/11/3 21:00,15,0.01,82,2,2.5
Morocco,Rabat,34.03,-6.84,2023/11/3 21:00,19,0,68,2,7.2
Mozambique,Maputo,-25.97,32.59,2023/11/3 22:00,22,0,73,3.9,19.9
Myanmar,Pathein,16.78,94.73,2023/11/4 2:30,24.6,0,88,7.6,9.8
Namibia,Windhoek,-22.57,17.08,2023/11/3 22:00,24,0,25,17.7,87.3
Turkey,Yaren,39.55,27.62,2023/11/3 23:00,19,0,73,21.6,69.3
Nepal,Kathmandu,27.72,85.32,2023/11/4 1:45,16,0.42,82,139.3,173.5
Netherlands,Amsterdam,52.37,4.89,2023/11/3 21:00,9,0.01,81,0.7,1.1
New Zealand,Wellington,-41.3,174.78,2023/11/4 9:00,15,0.18,77,1,2.1
Nicaragua,Managua,12.15,-86.27,2023/11/3 14:00,31,1.7,71,16.8,17.5
Niger,Niamey,13.52,2.12,2023/11/3 21:00,34,0,16,147.9,392.3
Nigeria,Abuja,9.18,7.18,2023/11/3 21:00,28,0,79,44.7,151.7
